dataset,horizon,model,feature_mode,run_tag,MSE,MAE,MAPE,R2,MSE_target,MAE_target,MAPE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,input_size,model_params,train_time_seconds,device,use_validation_best
ETTh1,168,autoformer,multivariate,feature_mode_full_seed42,0.5558629631996155,0.5225936770439148,878.8021850585938,0.5645896196365356,0.14590077102184296,0.2931259274482727,31.303295135498047,0.06434506177902222,0.828518115338825,0.3499244848887126,17,42,0,8377,2617,5637,7,117207,40.04487705230713,cuda,True
ETTh1,168,autoformer,univariate,feature_mode_full_seed42,0.11026736348867416,0.25156667828559875,33.83116912841797,0.29286038875579834,0.11026736348867416,0.25156667828559875,33.83116912841797,0.29286038875579834,0.10444892126889456,-0.6159954638708205,24,42,0,8377,2617,5637,1,116433,41.97087383270264,cuda,True
ETTh1,168,informer,multivariate,feature_mode_full_seed42,1.1950818300247192,0.8305079936981201,1109.31982421875,0.06388610601425171,1.0650638341903687,0.9189398884773254,77.75285339355469,-5.83020544052124,1.1219953511442458,0.16098094270342872,13,42,0,8377,2617,5637,7,196143,26.216603994369507,cuda,True
ETTh1,168,informer,univariate,feature_mode_full_seed42,0.2752448320388794,0.4137808680534363,43.730857849121094,-0.7651325464248657,0.2752448320388794,0.4137808680534363,43.730857849121094,-0.7651325464248657,0.1169326292084796,-0.8171983900524321,18,42,0,8377,2617,5637,1,195369,28.679434061050415,cuda,True
ETTh1,168,lstm,multivariate,feature_mode_full_seed42,1.264902114868164,0.8612607717514038,1279.6710205078125,0.009195506572723389,0.5874325037002563,0.6829805970191956,62.69470977783203,-2.7671780586242676,1.1500505748249235,0.16612268629528226,15,42,0,8377,2617,5637,7,639384,21.38230299949646,cuda,True
ETTh1,168,lstm,univariate,feature_mode_full_seed42,0.2682633399963379,0.4335596561431885,41.24953842163086,-0.7203606367111206,0.2682633399963379,0.4335596561431885,41.24953842163086,-0.7203606367111206,0.12029713090686571,-0.8646433694022042,21,42,0,8377,2617,5637,1,374184,23.12274742126465,cuda,True
ETTh1,168,patchtst,multivariate,feature_mode_full_seed42,0.5261451601982117,0.4991472363471985,861.6183471679688,0.5878677368164062,0.09524113684892654,0.24285225570201874,34.31904983520508,0.3892229199409485,0.8461145843778338,0.3483875251951672,19,42,0,8377,2617,5637,7,123856,31.234665155410767,cuda,True
ETTh1,168,patchtst,univariate,feature_mode_full_seed42,0.17477069795131683,0.3471345603466034,42.82682418823242,-0.12079644203186035,0.17477069795131683,0.3471345603466034,42.82682418823242,-0.12079644203186035,0.12146704306914693,-0.8999743858973185,15,42,0,8377,2617,5637,1,123856,17.951195001602173,cuda,True
ETTh1,168,transformer,multivariate,feature_mode_full_seed42,1.1169341802597046,0.8398359417915344,1382.3814697265625,0.12509948015213013,0.7181481719017029,0.7186976671218872,61.71486282348633,-3.6054515838623047,1.0806413874739693,0.19277102890468778,17,42,0,8377,2617,5637,7,368408,24.39006519317627,cuda,True
ETTh1,168,transformer,univariate,feature_mode_full_seed42,0.1549457460641861,0.32306039333343506,40.68821334838867,0.00634002685546875,0.1549457460641861,0.32306039333343506,40.68821334838867,0.00634002685546875,0.1255832053720951,-1.0248011407398043,14,42,0,8377,2617,5637,1,237608,16.001182556152344,cuda,True
